,category_round_id,round_name,score,ascents,athlete_id,rank,firstname,lastname,paraclimbing_sport_class,sport_class_status,country,federation_id,comp_name,starting_group,speed_elimination_stages
17,6770,Final,32+,"[{'route_id': 5556, 'route_name': '1', 'top': False, 'score': '32+', 'plus': True, 'restarted': False, 'time_ms': 274000, 'modified': '2021-09-21 18:33:04 +00:00', 'status': 'confirmed'}]",2381,6,Natsuki,TANII,,,JPN,25,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,
18,6141,Qualification,7.55,"[{'route_id': 1085, 'route_name': '1', 'top': False, 'plus': True, 'rank': 5, 'corrective_rank': 6, 'score': '37+'}, {'route_id': 1086, 'route_name': '2', 'top': False, 'plus': True, 'rank': 6, 'corrective_rank': 9.5, 'score': '39+'}]",68,7,Dinara,FAKHRITDINOVA,,,CFR,101,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,
19,6768,Semi-Final,39+,"[{'route_id': 5554, 'route_name': '1', 'top': False, 'score': '39+', 'plus': True, 'restarted': False, 'time_ms': 282000, 'modified': '2021-09-21 09:08:11 +00:00', 'status': 'confirmed'}]",68,7,Dinara,FAKHRITDINOVA,,,CFR,101,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,
20,6770,Final,32+,"[{'route_id': 5556, 'route_name': '1', 'top': False, 'score': '32+', 'plus': True, 'restarted': False, 'time_ms': 238000, 'modified': '2021-09-21 18:14:58 +00:00', 'status': 'confirmed'}]",68,7,Dinara,FAKHRITDINOVA,,,CFR,101,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,
21,6141,Qualification,16.88,"[{'route_id': 1085, 'route_name': '1', 'top': False, 'plus': True, 'rank': 13, 'corrective_rank': 15, 'score': '34+'}, {'route_id': 1086, 'route_name': '2', 'top': False, 'plus': True, 'rank': 17, 'corrective_rank': 19, 'score': '37+'}]",467,8,Salomé,ROMAIN,,,FRA,10,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,
22,6768,Semi-Final,40,"[{'route_id': 5554, 'route_name': '1', 'top': False, 'score': '40', 'plus': False, 'restarted': False, 'time_ms': 268000, 'modified': '2021-09-21 10:24:08 +00:00', 'status': 'locked'}]",467,8,Salomé,ROMAIN,,,FRA,10,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,
23,6770,Final,25+,"[{'route_id': 5556, 'route_name': '1', 'top': False, 'score': '25+', 'plus': True, 'restarted': False, 'time_ms': 184000, 'modified': '2021-09-21 18:26:52 +00:00', 'status': 'confirmed'}]",467,8,Salomé,ROMAIN,,,FRA,10,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,
24,6141,Qualification,8.72,"[{'route_id': 1085, 'route_name': '1', 'top': False, 'plus': False, 'rank': 8, 'corrective_rank': 8, 'score': '37'}, {'route_id': 1086, 'route_name': '2', 'top': False, 'plus': True, 'rank': 6, 'corrective_rank': 9.5, 'score': '39+'}]",1400,9,Eliska,ADAMOVSKA,,,CZE,17,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,
25,6768,Semi-Final,39+,"[{'route_id': 5554, 'route_name': '1', 'top': False, 'score': '39+', 'plus': True, 'restarted': False, 'time_ms': 342000, 'modified': '2021-09-21 09:01:56 +00:00', 'status': 'confirmed'}]",1400,9,Eliska,ADAMOVSKA,,,CZE,17,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,
26,6141,Qualification,9.8,"[{'route_id': 1085, 'route_name': '1', 'top': False, 'plus': True, 'rank': 5, 'corrective_rank': 6, 'score': '37+'}, {'route_id': 1086, 'route_name': '2', 'top': False, 'plus': False, 'rank': 16, 'corrective_rank': 16, 'score': '38'}]",12845,10,Momoko,ABE,,,JPN,25,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,
27,6768,Semi-Final,39+,"[{'route_id': 5554, 'route_name': '1', 'top': False, 'score': '39+', 'plus': True, 'restarted': False, 'time_ms': 280000, 'modified': '2021-09-21 08:50:24 +00:00', 'status': 'confirmed'}]",12845,10,Momoko,ABE,,,JPN,25,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,
28,6141,Qualification,11.94,"[{'route_id': 1085, 'route_name': '1', 'top': False, 'plus': True, 'rank': 13, 'corrective_rank': 15, 'score': '34+'}, {'route_id': 1086, 'route_name': '2', 'top': False, 'plus': True, 'rank': 6, 'corrective_rank': 9.5, 'score': '39+'}]",642,11,Molly,THOMPSON-SMITH,,,GBR,11,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,
