event_id,event_name,categories_list
85,"IFSC Europe - Continental Cup (L,S) - Belgrad (SRB) 2020 - CANCELLED","[{'category': 'LEAD Men', 'results_url': '/api/v1/events/85/result/225'}, {'category': 'LEAD Women', 'results_url': '/api/v1/events/85/result/229'}, {'category': 'SPEED Men', 'results_url': '/api/v1/events/85/result/226'}, {'category': 'SPEED Women', 'results_url': '/api/v1/events/85/result/230'}]"
86,,[]
87,"IFSC Europe - Continental Youth Championships (B,L,S) - Perm (RUS) 2020 - POSTPONED","[{'category': 'LEAD Juniors Male', 'results_url': '/api/v1/events/87/result/233'}, {'category': 'LEAD Youth A Male', 'results_url': '/api/v1/events/87/result/237'}, {'category': 'LEAD Youth B Male', 'results_url': '/api/v1/events/87/result/241'}, {'category': 'LEAD Juniors Female', 'results_url': '/api/v1/events/87/result/249'}, {'category': 'LEAD Youth A Female', 'results_url': '/api/v1/events/87/result/253'}, {'category': 'LEAD Youth B Female', 'results_url': '/api/v1/events/87/result/257'}, {'category': 'SPEED Juniors Male', 'results_url': '/api/v1/events/87/result/234'}, {'category': 'SPEED Youth A Male', 'results_url': '/api/v1/events/87/result/238'}, {'category': 'SPEED Youth B Male', 'results_url': '/api/v1/events/87/result/242'}, {'category': 'SPEED Juniors Female', 'results_url': '/api/v1/events/87/result/250'}, {'category': 'SPEED Youth A Female', 'results_url': '/api/v1/events/87/result/254'}, {'category': 'SPEED Youth B Female', 'results_url': '/api/v1/events/87/result/258'}, {'category': 'BOULDER Juniors Male', 'results_url': '/api/v1/events/87/result/235'}, {'category': 'BOULDER Youth A Male', 'results_url': '/api/v1/events/87/result/239'}, {'category': 'BOULDER Youth B Male', 'results_url': '/api/v1/events/87/result/243'}, {'category': 'BOULDER Juniors Female', 'results_url': '/api/v1/events/87/result/251'}, {'category': 'BOULDER Youth A Female', 'results_url': '/api/v1/events/87/result/255'}, {'category': 'BOULDER Youth B Female', 'results_url': '/api/v1/events/87/result/259'}]"
88,"Weltcup, Wien 1990",[]
89,"Weltcup, Madonna di Campiglio 1990",[]
90,"Weltcup, Berkeley 1990",[]
91,"Weltcup, Nürnberg 1990",[]
92,"Weltcup, Lyon 1990",[]
93,"Weltcup, Barcelona 1990",[]
94,"Weltcup, Open, Wien 1990",[]
95,"Weltcup, Open, Madonna di Campiglio 1990",[]
96,"Weltcup, Open, Berkeley 1990",[]
97,"Weltcup, Open, Nürnberg 1990",[]
98,"Weltcup, Open, Lyon 1990",[]
99,"Weltcup, Open, Barcelona 1990",[]
100,UIAA Worldcup - Wien 1991,"[{'category': 'LEAD Men', 'results_url': '/api/v1/events/100/result/1'}, {'category': 'LEAD Women', 'results_url': '/api/v1/events/100/result/5'}]"
event_id,event_name,categories_list
937,IFSC Climbing Worldcup (B) - Meiringen (SUI) 2016,"[{'category': 'BOULDER Men', 'results_url': '/api/v1/events/937/result/3'}, {'category': 'BOULDER Women', 'results_url': '/api/v1/events/937/result/7'}]"
938,IFSC Climbing Worldcup (B) - Kazo (JPN) 2016,"[{'category': 'BOULDER Men', 'results_url': '/api/v1/events/938/result/3'}, {'category': 'BOULDER Women', 'results_url': '/api/v1/events/938/result/7'}]"
939,"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016","[{'category': 'BOULDER Men', 'results_url': '/api/v1/events/939/result/3'}, {'category': 'BOULDER Women', 'results_url': '/api/v1/events/939/result/7'}, {'category': 'SPEED Men', 'results_url': '/api/v1/events/939/result/2'}, {'category': 'SPEED Women', 'results_url': '/api/v1/events/939/result/6'}]"
940,IFSC Climbing Worldcup (S) - Nanjing (CHN) 2016,"[{'category': 'SPEED Men', 'results_url': '/api/v1/events/940/result/2'}, {'category': 'SPEED Women', 'results_url': '/api/v1/events/940/result/6'}]"
941,IFSC Climbing Worldcup (B) - Navi Mumbai (IND) 2016,"[{'category': 'BOULDER Men', 'results_url': '/api/v1/events/941/result/3'}, {'category': 'BOULDER Women', 'results_url': '/api/v1/events/941/result/7'}]"
942,IFSC Climbing Worldcup (B) - Innsbruck (AUT) 2016,"[{'category': 'BOULDER Men', 'results_url': '/api/v1/events/942/result/3'}, {'category': 'BOULDER Women', 'results_url': '/api/v1/events/942/result/7'}]"
943,IFSC Climbing Worldcup (B) - Vail (USA) 2016,"[{'category': 'BOULDER Men', 'results_url': '/api/v1/events/943/result/3'}, {'category': 'BOULDER Women', 'results_url': '/api/v1/events/943/result/7'}]"
944,"IFSC Climbing Worldcup (L,S) -Chamonix (FRA) 2016","[{'category': 'LEAD Men', 'results_url': '/api/v1/events/944/result/1'}, {'category': 'LEAD Women', 'results_url': '/api/v1/events/944/result/5'}, {'category': 'SPEED Men', 'results_url': '/api/v1/events/944/result/2'}, {'category': 'SPEED Women', 'results_url': '/api/v1/events/944/result/6'}]"
945,"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2016","[{'category': 'LEAD Men', 'results_url': '/api/v1/events/945/result/1'}, {'category': 'LEAD Women', 'results_url': '/api/v1/events/945/result/5'}, {'category': 'SPEED Men', 'results_url': '/api/v1/events/945/result/2'}, {'category': 'SPEED Women', 'results_url': '/api/v1/events/945/result/6'}]"
946,IFSC Climbing Worldcup (L) - Briançon (FRA) 2016,"[{'category': 'LEAD Men', 'results_url': '/api/v1/events/946/result/1'}, {'category': 'LEAD Women', 'results_url': '/api/v1/events/946/result/5'}]"
947,IFSC Climbing Worldcup (B) - Munich (GER) 2016,"[{'category': 'BOULDER Men', 'results_url': '/api/v1/events/947/result/3'}, {'category': 'BOULDER Women', 'results_url': '/api/v1/events/947/result/7'}]"
948,IFSC Climbing Worldcup (L) - Imst (AUT) 2016 ,"[{'category': 'LEAD Men', 'results_url': '/api/v1/events/948/result/1'}, {'category': 'LEAD Women', 'results_url': '/api/v1/events/948/result/5'}]"
949,"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016","[{'category': 'LEAD Men', 'results_url': '/api/v1/events/949/result/1'}, {'category': 'LEAD Women', 'results_url': '/api/v1/events/949/result/5'}, {'category': 'SPEED Men', 'results_url': '/api/v1/events/949/result/2'}, {'category': 'SPEED Women', 'results_url': '/api/v1/events/949/result/6'}]"
950,IFSC Climbing World Championships - Paris (FRA) 2016,"[{'category': 'LEAD Men', 'results_url': '/api/v1/events/950/result/1'}, {'category': 'LEAD Women', 'results_url': '/api/v1/events/950/result/5'}, {'category': 'BOULDER Men', 'results_url': '/api/v1/events/950/result/3'}, {'category': 'BOULDER Women', 'results_url': '/api/v1/events/950/result/7'}, {'category': 'SPEED Men', 'results_url': '/api/v1/events/950/result/2'}, {'category': 'SPEED Women', 'results_url': '/api/v1/events/950/result/6'}]"
951,IFSC Climbing Worldcup (S) -  Wujiang (CHN) 2016,"[{'category': 'SPEED Men', 'results_url': '/api/v1/events/951/result/2'}, {'category': 'SPEED Women', 'results_url': '/api/v1/events/951/result/6'}]"
952,IFSC Climbing Worldcup (L) - Kranj (SLO) 2016,"[{'category': 'LEAD Men', 'results_url': '/api/v1/events/952/result/1'}, {'category': 'LEAD Women', 'results_url': '/api/v1/events/952/result/5'}]"
953,IFSC World Youth Championships - Guangzhou (CHN) - 2016,"[{'category': 'BOULDER Juniors Male', 'results_url': '/api/v1/events/953/result/11'}, {'category': 'BOULDER Youth A Male', 'results_url': '/api/v1/events/953/result/15'}, {'category': 'BOULDER Youth B Male', 'results_url': '/api/v1/events/953/result/19'}, {'category': 'BOULDER Juniors Female', 'results_url': '/api/v1/events/953/result/27'}, {'category': 'BOULDER Youth A Female', 'results_url': '/api/v1/events/953/result/31'}, {'category': 'BOULDER Youth B Female', 'results_url': '/api/v1/events/953/result/35'}, {'category': 'SPEED Juniors Male', 'results_url': '/api/v1/events/953/result/10'}, {'category': 'SPEED Youth A Male', 'results_url': '/api/v1/events/953/result/14'}, {'category': 'SPEED Youth B Male', 'results_url': '/api/v1/events/953/result/18'}, {'category': 'SPEED Juniors Female', 'results_url': '/api/v1/events/953/result/26'}, {'category': 'SPEED Youth A Female', 'results_url': '/api/v1/events/953/result/30'}, {'category': 'SPEED Youth B Female', 'results_url': '/api/v1/events/953/result/34'}, {'category': 'LEAD Juniors Male', 'results_url': '/api/v1/events/953/result/9'}, {'category': 'LEAD Youth A Male', 'results_url': '/api/v1/events/953/result/13'}, {'category': 'LEAD Youth B Male', 'results_url': '/api/v1/events/953/result/17'}, {'category': 'LEAD Juniors Female', 'results_url': '/api/v1/events/953/result/25'}, {'category': 'LEAD Youth A Female', 'results_url': '/api/v1/events/953/result/29'}, {'category': 'LEAD Youth B Female', 'results_url': '/api/v1/events/953/result/33'}]"
954,Paraclimbing Cup (L) - Campitello di Fassa (ITA) 2016,"[{'category': 'LEAD Men visual impairment B1', 'results_url': '/api/v1/events/954/result/61'}, {'category': 'LEAD Men AL-2', 'results_url': '/api/v1/events/954/result/81'}, {'category': 'LEAD Men RP2', 'results_url': '/api/v1/events/954/result/101'}, {'category': 'LEAD Women visual impairment B2', 'results_url': '/api/v1/events/954/result/137'}]"
955,Paraclimbing Master (L) - Imst (AUT) 2016,"[{'category': 'LEAD Men AU-1 (Arm Amputee)', 'results_url': '/api/v1/events/955/result/41'}, {'category': 'LEAD Men AU-2 (Forearm Amputee)', 'results_url': '/api/v1/events/955/result/45'}, {'category': 'LEAD Men visual impairment B1', 'results_url': '/api/v1/events/955/result/61'}, {'category': 'LEAD Men visual impairment B2', 'results_url': '/api/v1/events/955/result/65'}, {'category': 'LEAD Men AL-1 (seating)', 'results_url': '/api/v1/events/955/result/77'}, {'category': 'LEAD Men AL-2', 'results_url': '/api/v1/events/955/result/81'}, {'category': 'LEAD Men RP1', 'results_url': '/api/v1/events/955/result/97'}, {'category': 'LEAD Men RP2', 'results_url': '/api/v1/events/955/result/101'}, {'category': 'LEAD Men RP3', 'results_url': '/api/v1/events/955/result/105'}, {'category': 'LEAD Women AU-1 (Arm Amputee)', 'results_url': '/api/v1/events/955/result/113'}, {'category': 'LEAD Women AU-2 (Forearm Amputee)', 'results_url': '/api/v1/events/955/result/117'}, {'category': 'LEAD Women visual impairment B2', 'results_url': '/api/v1/events/955/result/137'}, {'category': 'LEAD Women RP1', 'results_url': '/api/v1/events/955/result/169'}, {'category': 'LEAD Women RP3', 'results_url': '/api/v1/events/955/result/177'}]"
