,Unnamed: 0.1,stage_name,stage_score,stage_rank,Unnamed: 0,category_round_id,round_name,score,athlete_id,rank,firstname,lastname,paraclimbing_sport_class,sport_class_status,country,federation_id,comp_name,route_id,route_name,top,top_tries,zone,zone_tries,low_zone,points,low_zone_tries,modified,status,plus,restarted,time_ms
21,14,Boulder,44.9,6,7,8351,Semi-final,136.9,2380,3,Ai,MORI,,,JPN,25,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10827.0,2,False,3.0,True,1.0,True,10.0,1.0,2023-08-09 08:59:55 +00:00,locked,,,
22,14,Boulder,44.9,6,7,8351,Semi-final,136.9,2380,3,Ai,MORI,,,JPN,25,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10828.0,3,False,11.0,False,11.0,True,4.9,2.0,2023-08-09 09:10:48 +00:00,locked,,,
23,14,Boulder,44.9,6,7,8351,Semi-final,136.9,2380,3,Ai,MORI,,,JPN,25,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10829.0,4,True,1.0,True,1.0,True,25.0,1.0,2023-08-09 09:22:33 +00:00,locked,,,
24,15,Lead,92.0,1,7,8351,Semi-final,136.9,2380,3,Ai,MORI,,,JPN,25,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10830.0,1,False,,,,,,,2023-08-09 20:24:02 +00:00,locked,False,False,0.0
25,16,Boulder,44.5,6,8,8353,Final,140.6,2380,3,Ai,MORI,,,JPN,25,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10836.0,1,False,6.0,False,6.0,True,4.9,2.0,2023-08-11 17:48:53 +00:00,locked,,,
26,16,Boulder,44.5,6,8,8353,Final,140.6,2380,3,Ai,MORI,,,JPN,25,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10837.0,2,True,3.0,True,2.0,True,24.8,1.0,2023-08-11 18:06:02 +00:00,locked,,,
27,16,Boulder,44.5,6,8,8353,Final,140.6,2380,3,Ai,MORI,,,JPN,25,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10838.0,3,False,2.0,True,1.0,True,10.0,1.0,2023-08-11 18:28:49 +00:00,locked,,,
28,16,Boulder,44.5,6,8,8353,Final,140.6,2380,3,Ai,MORI,,,JPN,25,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10839.0,4,False,6.0,False,6.0,True,4.8,3.0,2023-08-11 18:46:53 +00:00,locked,,,
29,17,Lead,96.1,1,8,8353,Final,140.6,2380,3,Ai,MORI,,,JPN,25,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10840.0,1,False,,,,,,,2023-08-11 20:14:31 +00:00,locked,True,False,0.0
30,20,Boulder,54.1,3,10,8351,Semi-final,122.1,1811,4,Brooke,RABOUTOU,,,USA,20,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10826.0,1,False,4.0,True,1.0,True,10.0,1.0,2023-08-09 08:48:26 +00:00,locked,,,
31,20,Boulder,54.1,3,10,8351,Semi-final,122.1,1811,4,Brooke,RABOUTOU,,,USA,20,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10827.0,2,False,5.0,True,3.0,True,9.8,1.0,2023-08-09 08:59:52 +00:00,locked,,,
32,20,Boulder,54.1,3,10,8351,Semi-final,122.1,1811,4,Brooke,RABOUTOU,,,USA,20,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10828.0,3,False,8.0,True,5.0,True,9.6,5.0,2023-08-09 09:10:45 +00:00,locked,,,
33,20,Boulder,54.1,3,10,8351,Semi-final,122.1,1811,4,Brooke,RABOUTOU,,,USA,20,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10829.0,4,True,4.0,True,4.0,True,24.7,1.0,2023-08-09 09:10:20 +00:00,confirmed,,,
34,21,Lead,68.0,4,10,8351,Semi-final,122.1,1811,4,Brooke,RABOUTOU,,,USA,20,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10830.0,1,False,,,,,,,2023-08-09 20:16:04 +00:00,locked,False,False,0.0
35,22,Boulder,69.8,2,11,8353,Final,137.8,1811,4,Brooke,RABOUTOU,,,USA,20,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10836.0,1,True,1.0,True,1.0,True,25.0,1.0,2023-08-11 17:36:53 +00:00,locked,,,
36,22,Boulder,69.8,2,11,8353,Final,137.8,1811,4,Brooke,RABOUTOU,,,USA,20,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10837.0,2,True,2.0,True,2.0,True,24.9,1.0,2023-08-11 18:01:59 +00:00,locked,,,
37,22,Boulder,69.8,2,11,8353,Final,137.8,1811,4,Brooke,RABOUTOU,,,USA,20,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10838.0,3,False,2.0,True,1.0,True,10.0,1.0,2023-08-11 18:18:56 +00:00,locked,,,
38,22,Boulder,69.8,2,11,8353,Final,137.8,1811,4,Brooke,RABOUTOU,,,USA,20,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10839.0,4,False,6.0,True,2.0,True,9.9,2.0,2023-08-11 18:36:52 +00:00,locked,,,
39,23,Lead,68.0,5,11,8353,Final,137.8,1811,4,Brooke,RABOUTOU,,,USA,20,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10840.0,1,False,,,,,,,2023-08-11 20:03:27 +00:00,locked,False,False,0.0
40,26,Boulder,19.1,19,13,8351,Semi-final,91.1,2035,5,Jain,KIM,,,KOR,21,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10826.0,1,False,3.0,True,2.0,True,9.9,2.0,2023-08-09 08:47:34 +00:00,locked,,,
41,26,Boulder,19.1,19,13,8351,Semi-final,91.1,2035,5,Jain,KIM,,,KOR,21,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10827.0,2,False,11.0,False,11.0,False,0.0,11.0,2023-08-09 08:59:20 +00:00,locked,,,
42,26,Boulder,19.1,19,13,8351,Semi-final,91.1,2035,5,Jain,KIM,,,KOR,21,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10828.0,3,False,8.0,False,8.0,True,4.6,5.0,2023-08-09 09:10:16 +00:00,locked,,,
43,26,Boulder,19.1,19,13,8351,Semi-final,91.1,2035,5,Jain,KIM,,,KOR,21,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10829.0,4,False,7.0,False,7.0,True,4.6,5.0,2023-08-09 08:15:39 +00:00,locked,,,
44,27,Lead,72.0,3,13,8351,Semi-final,91.1,2035,5,Jain,KIM,,,KOR,21,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10830.0,1,False,,,,,,,2023-08-09 19:31:19 +00:00,locked,False,False,0.0
45,28,Boulder,14.1,8,14,8353,Final,106.2,2035,5,Jain,KIM,,,KOR,21,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10836.0,1,False,5.0,False,5.0,True,4.9,2.0,2023-08-11 17:14:41 +00:00,locked,,,
