,category_round_id,round_name,score,combined_stages,athlete_id,rank,firstname,lastname,paraclimbing_sport_class,sport_class_status,country,federation_id,comp_name
10,8351,Semi-final,122.1,"[{'stage_name': 'Boulder', 'stage_score': 54.1, 'stage_rank': 3, 'ascents': [{'route_id': 10826, 'route_name': '1', 'top': False, 'top_tries': 4, 'zone': True, 'zone_tries': 1, 'low_zone': True, 'points': 10, 'low_zone_tries': 1, 'modified': '2023-08-09 08:48:26 +00:00', 'status': 'locked'}, {'route_id': 10827, 'route_name': '2', 'top': False, 'top_tries': 5, 'zone': True, 'zone_tries': 3, 'low_zone': True, 'points': 9.8, 'low_zone_tries': 1, 'modified': '2023-08-09 08:59:52 +00:00', 'status': 'locked'}, {'route_id': 10828, 'route_name': '3', 'top': False, 'top_tries': 8, 'zone': True, 'zone_tries': 5, 'low_zone': True, 'points': 9.6, 'low_zone_tries': 5, 'modified': '2023-08-09 09:10:45 +00:00', 'status': 'locked'}, {'route_id': 10829, 'route_name': '4', 'top': True, 'top_tries': 4, 'zone': True, 'zone_tries': 4, 'low_zone': True, 'points': 24.7, 'low_zone_tries': 1, 'modified': '2023-08-09 09:10:20 +00:00', 'status': 'confirmed'}]}, {'stage_name': 'Lead', 'stage_score': 68, 'stage_rank': 4, 'ascents': [{'route_id': 10830, 'route_name': '1', 'top': False, 'score': '45', 'plus': False, 'restarted': False, 'time_ms': 0, 'modified': '2023-08-09 20:16:04 +00:00', 'status': 'locked'}]}]",1811,4,Brooke,RABOUTOU,,,USA,20,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023"
11,8353,Final,137.8,"[{'stage_name': 'Boulder', 'stage_score': 69.8, 'stage_rank': 2, 'ascents': [{'route_id': 10836, 'route_name': '1', 'top': True, 'top_tries': 1, 'zone': True, 'zone_tries': 1, 'low_zone': True, 'points': 25, 'low_zone_tries': 1, 'modified': '2023-08-11 17:36:53 +00:00', 'status': 'locked'}, {'route_id': 10837, 'route_name': '2', 'top': True, 'top_tries': 2, 'zone': True, 'zone_tries': 2, 'low_zone': True, 'points': 24.9, 'low_zone_tries': 1, 'modified': '2023-08-11 18:01:59 +00:00', 'status': 'locked'}, {'route_id': 10838, 'route_name': '3', 'top': False, 'top_tries': 2, 'zone': True, 'zone_tries': 1, 'low_zone': True, 'points': 10, 'low_zone_tries': 1, 'modified': '2023-08-11 18:18:56 +00:00', 'status': 'locked'}, {'route_id': 10839, 'route_name': '4', 'top': False, 'top_tries': 6, 'zone': True, 'zone_tries': 2, 'low_zone': True, 'points': 9.9, 'low_zone_tries': 2, 'modified': '2023-08-11 18:36:52 +00:00', 'status': 'locked'}]}, {'stage_name': 'Lead', 'stage_score': 68, 'stage_rank': 5, 'ascents': [{'route_id': 10840, 'route_name': '1', 'top': False, 'score': '43', 'plus': False, 'restarted': False, 'time_ms': 0, 'modified': '2023-08-11 20:03:27 +00:00', 'status': 'locked'}]}]",1811,4,Brooke,RABOUTOU,,,USA,20,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023"
12,8349,Qualification,251.5,"[{'stage_name': 'Boulder', 'stage_score': '10.5', 'stage_rank': 45, 'ascents': []}, {'stage_name': 'Lead', 'stage_score': '241.0', 'stage_rank': 13, 'ascents': []}]",2035,5,Jain,KIM,,,KOR,21,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023"
13,8351,Semi-final,91.1,"[{'stage_name': 'Boulder', 'stage_score': 19.1, 'stage_rank': 19, 'ascents': [{'route_id': 10826, 'route_name': '1', 'top': False, 'top_tries': 3, 'zone': True, 'zone_tries': 2, 'low_zone': True, 'points': 9.9, 'low_zone_tries': 2, 'modified': '2023-08-09 08:47:34 +00:00', 'status': 'locked'}, {'route_id': 10827, 'route_name': '2', 'top': False, 'top_tries': 11, 'zone': False, 'zone_tries': 11, 'low_zone': False, 'points': 0, 'low_zone_tries': 11, 'modified': '2023-08-09 08:59:20 +00:00', 'status': 'locked'}, {'route_id': 10828, 'route_name': '3', 'top': False, 'top_tries': 8, 'zone': False, 'zone_tries': 8, 'low_zone': True, 'points': 4.6, 'low_zone_tries': 5, 'modified': '2023-08-09 09:10:16 +00:00', 'status': 'locked'}, {'route_id': 10829, 'route_name': '4', 'top': False, 'top_tries': 7, 'zone': False, 'zone_tries': 7, 'low_zone': True, 'points': 4.6, 'low_zone_tries': 5, 'modified': '2023-08-09 08:15:39 +00:00', 'status': 'locked'}]}, {'stage_name': 'Lead', 'stage_score': 72, 'stage_rank': 3, 'ascents': [{'route_id': 10830, 'route_name': '1', 'top': False, 'score': '46', 'plus': False, 'restarted': False, 'time_ms': 0, 'modified': '2023-08-09 19:31:19 +00:00', 'status': 'locked'}]}]",2035,5,Jain,KIM,,,KOR,21,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023"
14,8353,Final,106.2,"[{'stage_name': 'Boulder', 'stage_score': 14.1, 'stage_rank': 8, 'ascents': [{'route_id': 10836, 'route_name': '1', 'top': False, 'top_tries': 5, 'zone': False, 'zone_tries': 5, 'low_zone': True, 'points': 4.9, 'low_zone_tries': 2, 'modified': '2023-08-11 17:14:41 +00:00', 'status': 'locked'}, {'route_id': 10837, 'route_name': '2', 'top': False, 'top_tries': 8, 'zone': False, 'zone_tries': 8, 'low_zone': True, 'points': 4.5, 'low_zone_tries': 6, 'modified': '2023-08-11 17:36:56 +00:00', 'status': 'locked'}, {'route_id': 10838, 'route_name': '3', 'top': False, 'top_tries': 5, 'zone': False, 'zone_tries': 5, 'low_zone': False, 'points': 0, 'low_zone_tries': 5, 'modified': '2023-08-11 17:57:17 +00:00', 'status': 'locked'}, {'route_id': 10839, 'route_name': '4', 'top': False, 'top_tries': 9, 'zone': False, 'zone_tries': 9, 'low_zone': True, 'points': 4.7, 'low_zone_tries': 4, 'modified': '2023-08-11 18:18:46 +00:00', 'status': 'locked'}]}, {'stage_name': 'Lead', 'stage_score': 92.1, 'stage_rank': 2, 'ascents': [{'route_id': 10840, 'route_name': '1', 'top': False, 'score': '49+', 'plus': True, 'restarted': False, 'time_ms': None, 'modified': '2023-08-11 19:36:22 +00:00', 'status': 'locked'}]}]",2035,5,Jain,KIM,,,KOR,21,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023"
15,8349,Qualification,1130.0,"[{'stage_name': 'Boulder', 'stage_score': '805', 'stage_rank': 2, 'ascents': []}, {'stage_name': 'Lead', 'stage_score': '325', 'stage_rank': 11, 'ascents': []}]",11462,6,Oriane,BERTONE,,,FRA,10,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023"
16,8351,Semi-final,133.5,"[{'stage_name': 'Boulder', 'stage_score': 79.4, 'stage_rank': 2, 'ascents': [{'route_id': 10826, 'route_name': '1', 'top': True, 'top_tries': 1, 'zone': True, 'zone_tries': 1, 'low_zone': True, 'points': 25, 'low_zone_tries': 1, 'modified': '2023-08-09 08:48:23 +00:00', 'status': 'locked'}, {'route_id': 10827, 'route_name': '2', 'top': False, 'top_tries': 5, 'zone': False, 'zone_tries': 5, 'low_zone': True, 'points': 5, 'low_zone_tries': 1, 'modified': '2023-08-09 08:59:55 +00:00', 'status': 'locked'}, {'route_id': 10828, 'route_name': '3', 'top': True, 'top_tries': 2, 'zone': True, 'zone_tries': 1, 'low_zone': True, 'points': 24.9, 'low_zone_tries': 1, 'modified': '2023-08-09 09:10:46 +00:00', 'status': 'locked'}, {'route_id': 10829, 'route_name': '4', 'top': True, 'top_tries': 6, 'zone': True, 'zone_tries': 3, 'low_zone': True, 'points': 24.5, 'low_zone_tries': 2, 'modified': '2023-08-09 09:22:30 +00:00', 'status': 'locked'}]}, {'stage_name': 'Lead', 'stage_score': 54.1, 'stage_rank': 6, 'ascents': [{'route_id': 10830, 'route_name': '1', 'top': False, 'score': '41+', 'plus': True, 'restarted': False, 'time_ms': 0, 'modified': '2023-08-09 20:09:24 +00:00', 'status': 'locked'}]}]",11462,6,Oriane,BERTONE,,,FRA,10,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023"
17,8353,Final,93.8,"[{'stage_name': 'Boulder', 'stage_score': 54.7, 'stage_rank': 4, 'ascents': [{'route_id': 10836, 'route_name': '1', 'top': False, 'top_tries': 4, 'zone': True, 'zone_tries': 2, 'low_zone': True, 'points': 9.9, 'low_zone_tries': 2, 'modified': '2023-08-11 17:41:41 +00:00', 'status': 'locked'}, {'route_id': 10837, 'route_name': '2', 'top': True, 'top_tries': 3, 'zone': True, 'zone_tries': 2, 'low_zone': True, 'points': 24.8, 'low_zone_tries': 1, 'modified': '2023-08-11 18:02:01 +00:00', 'status': 'locked'}, {'route_id': 10838, 'route_name': '3', 'top': False, 'top_tries': 2, 'zone': True, 'zone_tries': 1, 'low_zone': True, 'points': 10, 'low_zone_tries': 1, 'modified': '2023-08-11 18:28:47 +00:00', 'status': 'locked'}, {'route_id': 10839, 'route_name': '4', 'top': False, 'top_tries': 6, 'zone': True, 'zone_tries': 1, 'low_zone': True, 'points': 10, 'low_zone_tries': 1, 'modified': '2023-08-11 18:42:08 +00:00', 'status': 'locked'}]}, {'stage_name': 'Lead', 'stage_score': 39.1, 'stage_rank': 7, 'ascents': [{'route_id': 10840, 'route_name': '1', 'top': False, 'score': '34+', 'plus': True, 'restarted': False, 'time_ms': 0, 'modified': '2023-08-11 20:07:58 +00:00', 'status': 'locked'}]}]",11462,6,Oriane,BERTONE,,,FRA,10,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023"
18,8349,Qualification,520.0,"[{'stage_name': 'Boulder', 'stage_score': '105', 'stage_rank': 24, 'ascents': []}, {'stage_name': 'Lead', 'stage_score': '415', 'stage_rank': 8, 'ascents': []}]",2294,7,Miho,NONAKA,,,JPN,25,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023"
19,8351,Semi-final,108.0,"[{'stage_name': 'Boulder', 'stage_score': 53.9, 'stage_rank': 4, 'ascents': [{'route_id': 10826, 'route_name': '1', 'top': False, 'top_tries': 4, 'zone': True, 'zone_tries': 2, 'low_zone': True, 'points': 9.9, 'low_zone_tries': 2, 'modified': '2023-08-09 08:48:04 +00:00', 'status': 'locked'}, {'route_id': 10827, 'route_name': '2', 'top': False, 'top_tries': 6, 'zone': True, 'zone_tries': 5, 'low_zone': True, 'points': 9.6, 'low_zone_tries': 4, 'modified': '2023-08-09 08:59:41 +00:00', 'status': 'locked'}, {'route_id': 10828, 'route_name': '3', 'top': False, 'top_tries': 6, 'zone': True, 'zone_tries': 3, 'low_zone': True, 'points': 9.8, 'low_zone_tries': 1, 'modified': '2023-08-09 09:10:29 +00:00', 'status': 'locked'}, {'route_id': 10829, 'route_name': '4', 'top': True, 'top_tries': 5, 'zone': True, 'zone_tries': 5, 'low_zone': True, 'points': 24.6, 'low_zone_tries': 1, 'modified': '2023-08-09 09:22:19 +00:00', 'status': 'locked'}]}, {'stage_name': 'Lead', 'stage_score': 54.1, 'stage_rank': 6, 'ascents': [{'route_id': 10830, 'route_name': '1', 'top': False, 'score': '41+', 'plus': True, 'restarted': False, 'time_ms': 0, 'modified': '2023-08-09 19:32:01 +00:00', 'status': 'locked'}]}]",2294,7,Miho,NONAKA,,,JPN,25,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023"
